Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
983,3223,Bishnupriya Naik,KEONJHAR,Odisha Jan Morcha,0,10th Pass,245000,0,245000
984,3708,"Bismaya Mahapatra,",BHUBANESWAR,AAP,0,Post Graduate,15156959,3824000,11332959
985,6544,Bismillakhan Abdulkhan Pathan,RAJKOT,IND,0,8th Pass,2700,0,2700
986,4838,Bisnu Pada Roy,MALDAHA DAKSHIN,BJP,1,Post Graduate,5419006,650967,4768039
987,1332,Biswajit Ranjit Chatterjee,NEW DELHI,AITC,0,12th Pass,33350000,0,33350000
988,3244,Biswajit Ray,BALASORE,IND,0,Graduate,71000,0,71000
989,4350,Biswapriya Roy Choudhury,BALURGHAT,BJP,5,Graduate Professional,4440487,0,4440487
990,4727,Bitiya Manjhi,DUMKA,CPI(ML)L,0,10th Pass,1214500,0,1214500
991,7758,Bittu,LUDHIANA,RPI(A),0,Literate,180864,0,180864
992,3320,Bochare Shankar Mahadji,NANDED,IND,0,10th Pass,7978374,761000,7217374
993,6232,Boda Raasi,MAHABUBABAD,BSP,0,12th Pass,1950000,400000,1550000
994,7892,Boddu Sainath Reddy,HYDERABAD,Yuvajana Sramika Rythu Congress Party,0,10th Pass,5031000,0,5031000
995,761,Bodhsingh Bhagat,BALAGHAT,BJP,0,Graduate,24959436,1393732,23565704
996,6379,Boilla Narender,BHONGIR,Republican Party of India,0,10th Pass,27700,0,27700
997,3847,Bojanna N Somaiah,MYSORE,IND,0,Graduate Professional,2835000,500000,2335000
998,6828,Bomma Balesham,MEDAK,IND,0,12th Pass,5381475,0,5381475
999,2538,Borkar Ravindra,NAGPUR,IND,0,10th Pass,300000,0,300000
1000,157,Brahmadav Anand Paswan,JAMUI,BSP,0,12th Pass,9493973,175000,9318973
1001,6165,Brahmadeo Prasad Karyee,DARBHANGA,Bajjikanchal Vikas Party,0,Doctorate,4328327,919512,3408815
1002,1552,Brahmanand Pratap Singh,SIDHI,IND,0,Graduate,0,0,0
1003,2569,Brahmananda Reddy,TUMKUR,IND,7,Graduate Professional,261074,126000,135074
1004,4597,Brahmbhatt Sanjaybhai Amarbhai,GANDHINAGAR,IND,0,12th Pass,822729,0,822729
1005,6188,Brahmdev Mukhiya,KHAGARIA,Rashtriya Naujawan Dal,2,Literate,4472000,0,4472000
1006,3925,Brajendra Gappu Chaturvedi,BHOPAL,IND,0,Post Graduate,890000,0,890000
1007,5808,Brajesh Pathak,UNNAO,BSP,1,Graduate Professional,14937219,0,14937219
1008,3034,Brajlal,AMROHA,Bahujan Mukti Party,0,Post Graduate,6502000,0,6502000
1009,4212,Brajmohan Malviya,UJJAIN,Prajatantrik Samadhan Party,0,Graduate Professional,882436,120000,762436
1010,5777,Brijlal,MOHANLALGANJ,Samtawadi Republican Party,0,8th Pass,9790200,0,9790200
1011,5546,Brijlal Khabhri,JALAUN,BSP,0,Post Graduate,29512616,0,29512616
1012,2977,Brindawan Singh Sikarwar,MORENA,BSP,1,12th Pass,18606750,0,18606750
1013,1537,Brmhadatta Mishra Urf Chote,REWA,IND,0,12th Pass,2283500,0,2283500
1014,5298,Bubadia Mahendrabhai Kesharbhai,BANASKANTHA,IND,1,Graduate,5652660,0,5652660
1015,7953,Budan Baig Shaik,KHAMMAM,TRS,1,Graduate,13210000,200000,13010000
1016,2865,Buday Munda,KHUNTI,Akhil Bhartiya Jharkhand Party,0,12th Pass,1669500,50000,1619500
1017,401,Budayya Pujeri,BANGALORE CENTRAL,Karunaadu Party,0,Graduate,1966100,0,1966100
1018,6076,Buddula Srinivasulu,NAGARKURNOOL,IND,0,10th Pass,460000,0,460000
1019,6602,Budhabhai Ranchhodbhai Patel,VALSAD,IND,0,10th Pass,9773500,0,9773500
1020,7261,Budhdhpriya Jasvant Somabhai,AHMEDABAD EAST,Prajatantra Aadhar Party,0,Literate,6565962,0,6565962
1021,2891,Budhram Laguri,SINGHBHUM,Bahujan Mukti Party,0,12th Pass,1639671,43898,1595773
1022,3165,Budhsen Verma,PILIBHIT,SP,0,8th Pass,36598361,4550000,32048361
1023,6459,Bupelli Narayana,PEDDAPALLE,IND,0,Doctorate,0,0,0
1024,6214,Burla Ravi,KARIMNAGAR,NCP,0,10th Pass,595000,300000,295000
1025,4531,Busireddy Shankar Reddy,KHAMMAM,IND,0,12th Pass,32525000,100000,32425000
1026,6099,Buta Singh,AMRITSAR,Bahujan Samaj Party (Ambedkar),0,Literate,80000,0,80000
1027,6522,Butani Rajeshbhai Maganbhai,PORBANDAR,IND,0,10th Pass,2799596,0,2799596
1028,6215,Byagari Laxman,KARIMNAGAR,BSP,0,Post Graduate,13180000,0,13180000
1029,328,C B Chandrababu,ALAPPUZHA,CPI(M),10,Graduate Professional,1466177,360075,1106102
1030,904,C G Saji Kumar,ANDAMAN & NICOBAR ISLANDS,IND,0,12th Pass,50000,0,50000
1031,2231,C J Jagannath,UDUPI CHIKMAGALUR,CPI(ML) Red star,0,5th Pass,111000,0,111000
1032,2555,C Mohan Kumar,MYSORE,BSP,0,10th Pass,5250000,0,5250000
1033,297,C N Jayadevan,THRISSUR,CPI,3,Post Graduate,20041642,294000,19747642
1034,3452,C R Choudhary,NAGAUR,BJP,0,Post Graduate,17921949,0,17921949
1035,1042,C. L. Ruala,MIZORAM,INC,0,Graduate,25733421,0,25733421
1036,6852,C.D. Meyyappan,CHENNAI CENTRAL,INC,0,Post Graduate,89988340,1100000,88888340
1037,1201,C.H. Vijayashankar,HASSAN,BJP,0,Graduate,42165344,5100000,37065344
1038,1897,C.K. Ramakrishnan,PALAKKAD,IND,0,Not Given,729614,380200,349414
1039,2952,C.L. Karodiya,GWALIOR,Jan-Nyay Dal,0,Graduate,806184,0,806184
1040,2632,C.Narayana Swamy,BANGALORE NORTH,INC,0,Post Graduate,247952597,922460,247030137
1041,1088,C.S.Puttaraju,MANDYA,JD(S),0,12th Pass,45209196,11231000,33978196
1042,7255,C.S.Valvi,NANDURBAR,IND,0,Graduate,10500,0,10500
1043,6088,Captain Amarinder Singh,AMRITSAR,INC,3,Graduate,863564071,4853456,858710615
1044,3060,Captain Phool Chandra Sharma,AONLA,Jawan Kisan Morcha,0,Graduate,1010000,0,1010000
1045,2948,Captan Babulal Goswami,GWALIOR,IND,0,Graduate,4300000,0,4300000
1046,4552,Ch. Murahari,SECUNDERABAD,SUCI(C),0,Post Graduate,2544964,0,2544964
1047,7843,Ch.Malla Reddy,MALKAJGIRI,TDP,0,12th Pass,488525332,6328146,482197186
1048,5396,Chaitram Suryavanshi,JANJGIR-CHAMPA,IND,0,Post Graduate,418000,0,418000
1049,2198,Chalawadi Ashok Sahadevappa,UTTARA KANNADA,IND,0,Graduate,1780000,1505000,275000
1050,2796,Champa Lal Patel,MAHASAMUND,IND,0,Graduate,1860000,0,1860000
1051,480,Chamra Linda,LOHARDAGA,AITC,2,Graduate,7010805,1550000,5460805
1052,6208,Chan Pasha,CHEVELLA,Akhil Bharatiya Muslim League (Secular),1,Illiterate,2100000,0,2100000
1053,6146,Chanan Singh Wattu,FIROZPUR,IND,0,Graduate,11339000,0,11339000
1054,7061,Chanbasha.M,KRISHNAGIRI,BSP,0,5th Pass,1106000,0,1106000
1055,2534,Chanda Manwatkar,NAGPUR,IND,0,12th Pass,0,0,0
1056,4094,Chandan Brahma,KOKRAJHAR,BPF,0,Graduate,61378388,26772159,34606229
1057,5138,Chandan Lal Meena,TONK-SAWAI MADHOPUR,IND,0,Graduate,5862017,1000000,4862017
1058,4419,Chandan Singh,MATHURA,SP,0,Graduate Professional,33511293,0,33511293
1059,6012,Chandana Majhi,BARDHAMAN PURBA,INC,0,Graduate,10055920,0,10055920
1060,4071,Chandoo Lal Sahu S/O Avadh Ram Sahu,MAHASAMUND,IND,0,8th Pass,4000,0,4000
1061,4647,Chandra Bhusan Kanwar,KORBA,Ambedkarite Party of India,0,Graduate Professional,21597,0,21597
1062,4454,Chandra Bhushan,ARARIA,AAP,0,Graduate Professional,14088067,5025161,9062906
1063,2763,Chandra Bhushan Prasad Chandravnsi,PATNA SAHIB,Bahujan Mukti Party,1,Literate,29711938,50200,29661738
1064,2759,Chandra Dev Prasad,PATALIPUTRA,Bahujan Mukti Party,0,Post Graduate,479600,0,479600
1065,5015,Chandra Pal,HARDOI,Bharatiya Republican Paksha,0,8th Pass,184037,0,184037
1066,4920,Chandra Pal,AGRA,Adarsh Samaj Party,0,Doctorate,111676624,7056864,104619760
1067,2436,Chandra Prakash,CHITTORGARH,BJP,0,Graduate,14134693,687284,13447409
1068,2425,Chandra Prakash Gocher,BHILWARA,Bharatiya Yuva Shakti,0,12th Pass,7612000,60000,7552000
1069,3987,Chandra Prakash Mandle,DURG,IND,3,Graduate Professional,23602100,2330000,21272100
1070,834,Chandra Sekhar Sahu,BERHAMPUR,INC,0,Graduate Professional,22114000,642430,21471570
1071,6193,Chandra Shekhar Yadav,MADHEPURA,Bahujan Mukti Party,2,Graduate,16557292,3400000,13157292
1072,2397,Chandra Singh,JHALAWAR-BARAN,BSP,0,8th Pass,225000,0,225000
1073,1957,Chandrababu,ALAPPUZHA,IND,0,10th Pass,0,0,0
1074,6658,Chandrabhan Singh,FATEHPUR,IND,0,Graduate,1696453,0,1696453
1075,767,Chandrabhan Singh Choudhary,CHHINDWARA,BJP,0,Graduate Professional,88884662,2258313,86626349
1076,2685,Chandrabhushan Sharma,JAHANABAD,AAP,0,Doctorate,7877980,0,7877980
1077,1231,Chandradev Thakur,CHATRA,Socialist Party (India),0,8th Pass,1683317,0,1683317
1078,817,Chandradhwaja Majhi,NABARANGPUR,IND,0,Graduate,2028926,0,2028926
1079,6956,"Chandragasan, N",CHIDAMBARAM,IND,0,8th Pass,525000,0,525000
1080,2139,Chandrakant,BIDAR,AAP,0,Post Graduate,5000070,417370,4582700
1081,5156,Chandrakant Bhaurao Khaire,AURANGABAD,SHS,8,12th Pass,90614560,20307244,70307316
1082,3663,Chandrakant Tatu Khandait,SATARA,Bharipa Bahujan Mahasangh,0,Graduate,223500,100000,123500
1083,6182,Chandramohan Jha,JHANJHARPUR,IND,3,Doctorate,138813648,51588,138762060
1084,6331,Chandramohan P,DINDIGUL,IND,0,10th Pass,3422000,0,3422000
1085,6969,"Chandran, D.",COIMBATORE,CPI(ML)L,0,Graduate,3388439,1651255,1737184
1086,2934,Chandrapal Singh Tomar,GUNA,IND,0,Post Graduate,6730000,200000,6530000
1087,5550,Chandrapal Singh Yadav,JHANSI,SP,9,Doctorate,69561317,0,69561317
1088,7365,Chandrasekaran.M,TIRUVALLUR,IND,0,Others,14147894,0,14147894
1089,2550,Chandrashekaraiah,MYSORE,JD(S),0,Post Graduate,28573891,0,28573891
1090,7348,Chandravijaysinh Takhubha Rana,JAMNAGAR,IND,0,12th Pass,12388172,522000,11866172
1091,4152,Chandrda Shekhar Dubey,DHANBAD,AITC,4,10th Pass,40055646,190000,39865646
1092,3440,Chandresh Kumari,JODHPUR,INC,0,12th Pass,307822286,4101175,303721111
1093,5230,Chandresh Singh,VIDISHA,IND,0,10th Pass,42613,0,42613
1094,4231,Chandu Lal Meena,DAUSA,BSP,3,10th Pass,1218571031,26015101,1192555930
1095,110,Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,MAHASAMUND,BJP,0,Graduate Professional,20879652,2700000,18179652
1096,3909,Chandu Lal Sahu S/O Balchand Sahu,MAHASAMUND,IND,0,10th Pass,209000,0,209000
1097,4070,Chandu Lal Sahu S/O Biju Ram Sahu,MAHASAMUND,IND,0,5th Pass,6000,0,6000
1098,4067,Chandu Lal Sahu S/O Late Nathu Ram,MAHASAMUND,IND,0,5th Pass,254500,150000,104500
1099,4069,Chandu Lal Sahu S/O Parmanand Sahu,MAHASAMUND,IND,0,Literate,2574000,0,2574000
1100,4068,Chandu Lal Sahu S/O Same Lal Sahu,MAHASAMUND,IND,0,8th Pass,1114000,0,1114000
1101,4066,Chandu Lal Sahu S/O Soju Lal Sahu,MAHASAMUND,IND,0,8th Pass,1307000,0,1307000
1102,4074,Chandu Ram Sahu S/O Nakul Sahu,MAHASAMUND,IND,0,5th Pass,12000,0,12000
1103,4072,Chandu Ram Sahu S/O Pilau Ram Sahu,MAHASAMUND,IND,0,8th Pass,648000,0,648000
1104,7307,Chandubhai Machalabhai Chaudhari,BARDOLI,AAP,0,Graduate,5295872,440000,4855872
1105,4073,Chanduram Sahu S/O Ram Karosa Sahu,MAHASAMUND,IND,0,Literate,12000,0,12000
1106,4664,Charan Bhaya,KORBA,IND,0,Not Given,352000,0,352000
1107,4648,Charan Das Mahant,KORBA,INC,0,Doctorate,98328278,2500000,95828278
1108,1301,Charan Jeet Singh,WEST DELHI,AIFB,0,Post Graduate,709000,0,709000
1109,1056,Charanjeet Singh,SIRSA,INLD,0,10th Pass,8146887,3260000,4886887
1110,6882,Charavanan. M.P.,CHENNAI NORTH,IND,0,Graduate,3716798,0,3716798
1111,920,Chatap Wamanrao Sadashiv,CHANDRAPUR,AAP,3,Graduate Professional,29375000,1300000,28075000
1112,1626,Chater Singh Kashyap,MUZAFFARNAGAR,Vanchit Jamat Party,0,10th Pass,12559000,0,12559000
1113,198,Chattar Singh,KURUKSHETRA,BSP,0,Graduate Professional,72970569,3500000,69470569
1114,3018,Chaturbhuj Snehi,TIKAMGARH,IND,0,12th Pass,0,0,0
1115,3384,Chaudhari Kalu Vinayak,BARAMATI,BSP,0,8th Pass,65000,0,65000
1116,5801,Chaudhari Lal,SITAPUR,Bahujan Mukti Party,0,8th Pass,4127815,0,4127815
1117,5994,Chaudhari Mujjafar Jainuddin Alias Modi,RAIGAD,IND,0,5th Pass,1069000,515000,554000
1118,2092,Chaudhary Daya Chand,FARIDABAD,Bhartiya Shakti Chetna Party,0,Graduate,10745000,0,10745000
1119,4892,Chaudhary Dineshbhai Salubhai,MAHESANA,Vishva Hindustani Sangathan,0,Literate,4410200,695000,3715200
1120,4570,Chaudhry Haribhai Parthibhai,BANASKANTHA,BJP,0,Graduate,15773564,0,15773564
1121,4615,Chauhan Devusinh Jesingbhai,KHEDA,BJP,0,12th Pass,9426376,1047919,8378457
1122,5357,Chauhan Kesavbhai Malabhai,NAVSARI,BSP,0,12th Pass,225000,0,225000
1123,5362,Chauhan Prabhatsinh Pratapsinh,PANCHMAHAL,BJP,3,10th Pass,10464000,0,10464000
1124,5330,Chavada Ashokbhai Nathabhai,JAMNAGAR,IND,0,8th Pass,41000,0,41000
1125,6609,Chavada Harishchandrasinh Prabhatsinh,PANCHMAHAL,IND,1,10th Pass,45000,0,45000
1126,6610,Chavada Surendrasinh Narvatsinh,PANCHMAHAL,IND,0,Graduate,1702950,0,1702950
1127,5822,Chavan Harishchandra Deoram,DINDORI,BJP,1,Graduate,37240147,881137,36359010
1128,2598,Chavan Vinod Narayan,YAVATMAL-WASHIM,IND,0,10th Pass,3361500,570000,2791500
1129,5292,Chavda Manubhai Parsottambhaix,AMRELI,JD(U),2,12th Pass,36141803,9105641,27036162
1130,7651,Chavda Palabhai Nanjibhai,SURENDRANAGAR,IND,0,Illiterate,172498,0,172498
1131,4608,Chavda Vinod Lakhmashi,KACHCHH,BJP,0,Graduate Professional,5618643,411255,5207388
1132,5614,Chavhan Mohan Shamrao,RAVER,IND,0,Post Graduate,4213625,450000,3763625
1133,7208,Chawan Suryakant Gangaram,MUMBAI NORTH CENTRAL,IND,0,8th Pass,3482557,0,3482557
1134,943,Chaware Maya Namdeo,RAMTEK,SP,7,Post Graduate,13746000,1220000,12526000
1135,6413,Chaya Ratan Musinipally,SECUNDERABAD,AAP,0,Post Graduate,22724510,0,22724510
1136,7063,Chellakumar. Dr. A,KRISHNAGIRI,INC,1,Graduate Professional,52280762,29502704,22778058
1137,5673,Chellakumarasamy.T.S,NAMAKKAL,AAP,0,Post Graduate,43275164,2061000,41214164
1138,331,Chengara Surendran,MAVELIKKARA,CPI,1,Graduate,3363470,794051,2569419
1139,241,Cheni Ram Moran,DIBRUGARH,AIFB,0,10th Pass,824337,0,824337
1140,6216,Chennamaneni Vidya Sagar Rao,KARIMNAGAR,BJP,0,Graduate Professional,41209642,6369354,34840288
1141,6078,Cherupally Seetharamulu,BHONGIR,CPI(M),0,10th Pass,7692700,0,7692700
1142,321,Chetan Bhimraj Pendam,WARDHA,BSP,1,Post Graduate,13251784,0,13251784
1143,6817,Chetan Sharma,SRINAGAR,IND,0,Post Graduate,12798000,300000,12498000
1144,3207,Chetram,SHAHJAHANPUR,INC,0,Graduate Professional,13768803,0,13768803
1145,6743,Chetram Pasi,UNNAO,RPI(A),0,Literate,817500,0,817500
1146,3233,Chhabi Mahali,MAYURBHANJ,AAP,0,Others,75674,0,75674
1147,1153,Chhabilal Nial,KALAHANDI,Ambedkarite Party of India,0,Graduate Professional,580758,0,580758
1148,3426,Chhaganaram / Bhalaram,JALORE,Bahujan Mukti Party,0,8th Pass,118668,0,118668
1149,3425,Chhaganaram / Prhalad,JALORE,Hindustan Janta Party,0,Literate,1652000,4000,1648000
1150,2986,Chhavendra,MORENA,IND,0,Literate,785508,0,785508
1151,4161,Chhaya Kole,DUMKA,CPI,0,8th Pass,3061595,700000,2361595
1152,145,Chhedi Paswan,SASARAM,BJP,0,Post Graduate,35776803,275000,35501803
1153,6179,Chhedi Ram,JHANJHARPUR,IND,0,Literate,17707,0,17707
1154,7898,Chhotubhai Babubhai Patel,DADRA & NAGAR HAVELI,AAP,0,10th Pass,8847442,68500,8778942
1155,3459,Chhoturam,NAGAUR,IND,0,10th Pass,837000,275000,562000
1156,6401,Chiluveru Prathap,WARANGAL,IND,0,8th Pass,0,0,0
1157,913,Chinchole Gangaram Kaluji,BULDHANA,IND,0,12th Pass,21065000,117000,20948000
1158,7062,Chinna Pillappa.P,KRISHNAGIRI,DMK,0,Post Graduate,152477730,430835,152046895
1159,7122,"Chinna Rajendran, C.",PERAMBALUR,IND,0,12th Pass,2700000,0,2700000
1160,2570,Chinnappa.V,TUMKUR,CPI,0,Graduate,201696,21412,180284
1161,7040,"Chinnasamy, M.",KARUR,DMK,0,Graduate Professional,76747420,16329000,60418420
1162,7050,"Chinnasamy, M.",KARUR,IND,0,8th Pass,790800,100000,690800
1163,7051,"Chinnasamy, V.",KARUR,IND,0,8th Pass,1329000,0,1329000
1164,843,Chinnayyanaik,RAICHUR,IND,0,12th Pass,1658400,0,1658400
1165,7185,Chinnusamy N,SALEM,IND,0,5th Pass,451500,0,451500
1166,6670,Chintamani,JHANSI,Akhil Rashtrawadi Party,0,Graduate Professional,2736855,0,2736855
1167,4019,Chintamani Mahto,RANCHI,IND,1,12th Pass,7763850,26150,7737700
1168,4209,Chintamani Malviya,UJJAIN,BJP,0,Doctorate,18888754,5483153,13405601
1169,6404,Chintha Swamy,WARANGAL,AAP,0,Graduate,3730000,2000000,1730000
1170,158,Chirag Kumar Paswan,JAMUI,LJP,0,12th Pass,10414470,4458954,5955516
1171,6475,Chirulingadrulu Venkatesham,NIZAMABAD,IND,0,12th Pass,130000,0,130000
1172,3766,Chitra Prasad,CHIKKBALLAPUR,BSP,0,Post Graduate,4740600,1800000,2940600
1173,5264,Chitranjan Singh,KISHANGANJ,IND,0,10th Pass,630000,20000,610000
1174,2886,Chitrasen Sinku,SINGHBHUM,INC,0,12th Pass,8992000,1100000,7892000
1175,4371,Chitta Ranjan Kirttania,MALDAHA UTTAR,BSP,0,Graduate,17660906,840000,16820906
1176,2063,Chitter Singh Bali,BHIWANI-MAHENDRAGARH,IND,0,10th Pass,2196500,650000,1546500
1177,6325,Chitthan N.S.V,DINDIGUL,INC,0,Graduate,27649207,0,27649207
1178,710,Chittoor Rajamannar,IDUKKI,IND,0,Post Graduate,60222146,1365374,58856772
1179,1129,Chole Omprakash Bakaram,BHANDARA-GONDIYA,IND,0,Graduate Professional,1007000,800000,207000
1180,2274,Chomang Kro,AUTONOMOUS DISTRICT,IND,0,Graduate,4122196,0,4122196
1181,3657,Chopade Shriprasad Janardan,SANGLI,IND,0,12th Pass,334194,0,334194
1182,3973,Chote Lal Mahto,KISHANGANJ,IND,0,5th Pass,334500,0,334500
1183,7301,Choudhary Adambhai Nasirbhai,BANASKANTHA,SP,0,8th Pass,63893750,130649812,0
1184,6773,Choudhary Mahboob Ali Kaiser,KHAGARIA,LJP,1,Graduate,66569502,0,66569502
1185,5083,Choudhary Nashrudeen,ALWAR,Socialist Party (India),0,Literate,24094100,1450000,22644100
1186,3759,Chowdahalli Javaraiah,CHAMARAJANAGAR,CPI(ML)L,0,Graduate Professional,393000,0,393000
1187,302,Christy Fernandez,ERNAKULAM,IND,0,Doctorate,27176949,2620749,24556200
1188,4605,Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,7446059,1110690,6335369
1189,195,Chungkhokai Doungel,OUTER MANIPUR,NCP,0,Graduate,6685000,0,6685000
1190,197,Chuni Manoj Kumar,KURUKSHETRA,IND,0,5th Pass,1593000,0,1593000
1191,1991,Churchill Alemao,SOUTH GOA,AITC,3,Others,149868252,72589679,77278573
1192,1854,Cleatus,WAYANAD,IND,2,8th Pass,6905000,0,6905000
1193,3026,Cliffton De Souza,SOUTH GOA,Bahujan Mukti Party,0,10th Pass,152500,0,152500
1194,3381,Col Suresh Patil (Rtd),PUNE,Bahujan Mukti Party,0,12th Pass,1034609,0,1034609
1195,2472,Col. Sona Ram,BARMER,BJP,1,Graduate Professional,174678454,5584331,169094123
1196,3627,Colonel Jayantrao Chitale,PUNE,IND,0,Graduate Professional,1014500,0,1014500
1197,6916,Colonel Kadar Basha,CHENNAI SOUTH,IND,0,Others,9991131,0,9991131
1198,6171,Colonel Lakshmeshwar Mishra,DARBHANGA,CPI(ML)L,0,Graduate Professional,15406445,2079445,13327000
1199,940,Com. Bandu Ramchandra Meshram,RAMTEK,CPI(ML) Red star,0,12th Pass,285146,0,285146
1200,912,Commander (Rtd) Ashok Raut,BULDHANA,IND,0,Graduate Professional,7250500,0,7250500
1201,4811,Comrade Lata Bhabor,RATLAM,CPI(M),3,8th Pass,78649422,0,78649422
1202,3327,Comrade Rajan Kshirsagar,PARBHANI,CPI,7,Graduate,4099277,700000,3399277
1203,199,Comrade Ram Kumar,SIRSA,CPI(M),0,12th Pass,877705,0,877705
1204,3344,Comred Bhise Ganpat Devrao,PARBHANI,IND,2,Graduate,757300,225000,532300
1205,1739,Cp Verma,SAHARANPUR,IND,3,Literate,4750000,0,4750000
1206,3816,D Eswar Thoremavu,MYSORE,IND,0,Graduate,500000,25000,475000
1207,844,D H Pujar,KOPPAL,CPI(ML) Red star,4,5th Pass,2219600,350000,1869600
1208,1283,D K Chopra,SOUTH DELHI,IND,1,Graduate,7080000,0,7080000
1209,3769,D N Narasimhamurthy,CHIKKBALLAPUR,IND,0,10th Pass,290000,130000,160000
1210,2176,D Prasad Sangappa,HAVERI,RPI(A),0,12th Pass,7850000,1080000,6770000
1211,3814,D S Nirvanappa,MYSORE,CPI(ML) Red Star,0,5th Pass,629000,5000,624000
1212,7502,D Sivamuthu Kumar,MADURAI,DMDK,2,Post Graduate,12866994,4084000,8782994
1213,6851,D. Babu,CHENNAI CENTRAL,IND,0,5th Pass,60000,0,60000
1214,6858,D. Ramesh,CHENNAI CENTRAL,IND,0,Post Graduate,495000,0,495000
1215,3510,D.B.Naik,HINGOLI,CPI(M),1,Graduate,4071000,470000,3601000
1216,2122,D.B.Nayak,RAICHUR,JD(S),1,Graduate,10591888,0,10591888
1217,7882,D.Bikshapathi,MALKAJGIRI,IND,0,12th Pass,3221000,0,3221000
1218,5619,D.D.Wani,RAVER,IND,1,10th Pass,771968,10000,761968
1219,5474,D.Elumalai,VILUPPURAM,IND,0,Graduate,40000,0,40000
1220,2861,D.G.Raja,JAMSHEDPUR,SP,0,Graduate,1899744,265504,1634240
1221,2633,D.Jayaram,BANGALORE NORTH,Gareeb Aadmi Party,0,12th Pass,40000,0,40000
1222,2369,D.K. Chhangani,JAIPUR,CPI,0,Graduate,2605791,0,2605791
1223,1090,D.K.Suresh,BANGALORE RURAL,INC,7,12th Pass,858713138,184854756,673858382
1224,2619,D.M.Ambareesha,KOLAR,BSP,0,Post Graduate,145000,0,145000
1225,1224,D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,98888874,37020152,61868722
1226,6667,Daalchandra,JALAUN,AAP,0,10th Pass,654500,0,654500
1227,7297,Dabhi Navajibhai Madhabhai,BANASKANTHA,IND,0,Graduate Professional,323000,0,323000
1228,2659,Dadan Yadav,BUXAR,BSP,22,10th Pass,26250000,103594500,0
1229,731,Dadhibal,SATNA,Apna Dal,0,Post Graduate,2933600,0,2933600
1230,4123,Daduram Manhar,JANJGIR-CHAMPA,AAP,0,Post Graduate,2517042,0,2517042
1231,7280,Dafada Ramjibhai Nanjibhai,AMRELI,BSP,0,5th Pass,486000,0,486000
1232,3573,Dagadu Manik Pawar,MADHA,IND,0,5th Pass,1521697,0,1521697
1233,915,Daharwal Ganeshdeo Raghuji,BHANDARA-GONDIYA,GGP,0,5th Pass,7113000,0,7113000
1234,1154,Daitary Pradhan,KALAHANDI,Aama Odisha Party,2,Post Graduate,47792839,367818,47425021
1235,447,Dalbir Singh Chahal,SONIPAT,Rashtravadi Janata Party,0,5th Pass,16475000,90000,16385000
1236,1336,Dalchand,NEW DELHI,IND,0,8th Pass,2970854,300000,2670854
1237,1773,Dalendra Nath Ray,COOCHBEHAR,Amra Bangalee,0,10th Pass,2358865,0,2358865
1238,6091,Daljit Singh,AMRITSAR,AAP,0,Post Graduate,175331173,0,175331173
1239,6112,Daljit Singh,ANANDPUR SAHIB,IND,0,Post Graduate,11507000,800000,10707000
1240,745,Dalpat Singh Paraste,SHAHDOL,BJP,0,Graduate Professional,5524870,0,5524870
1241,5022,Dalveer Singh,HATHRAS,IND,0,5th Pass,68575,0,68575
1242,3401,Damale Shivajirao Waman,AHMEDNAGAR,Bhartiya Navjawan Sena (Paksha),0,Graduate Professional,1721000,905302,815698
1243,4002,Daman Chandra Bhakat,JAMSHEDPUR,BSP,0,10th Pass,38695000,40000,38655000
1244,3628,Dambale Rahul Dharma,PUNE,IND,13,12th Pass,20000,0,20000
1245,3688,Dambale Ram Dharma,SHIRUR,IND,0,10th Pass,1383000,105000,1278000
1246,4167,Damodar Singh,GODDA,AITC,0,12th Pass,3802143,100000,3702143
1247,994,Dan Bahadur Yadav,NORTH EAST DELHI,IND,0,Graduate,1345000,0,1345000
1248,1475,Dandekar Baburao Laxman,GADCHIROLI-CHIMUR,IND,0,12th Pass,580000,0,580000
1249,5157,Dandge Nanasaheb Damodhar,AURANGABAD,IND,0,Graduate,1335000,0,1335000
1250,5344,Danicha Govindbhai Punamchand,KACHCHH,AAP,0,Graduate Professional,3777000,0,3777000
1251,2918,Daniel John,BHOPAL,IND,0,12th Pass,8081017,0,8081017
1252,5855,Danve Raosaheb Dadarao,JALNA,BJP,4,Graduate,184411862,8534130,175877732
1253,4275,Danvir,ETAH,IND,0,10th Pass,1423000,0,1423000
1254,7715,Darshan Nahar,JALANDHAR,IND,0,8th Pass,1568000,85000,1483000
1255,7785,Darshan Singh,FARIDKOT,Shiromani Akali Dal (Amritsar)(Simranjit Sing,0,5th Pass,412000,0,412000
1256,7756,Darshan Singh,LUDHIANA,SHS,0,12th Pass,5022000,170000,4852000
1257,649,Daryl William Ch Momin,TURA,INC,0,Post Graduate,1250390,204472,1045918
1258,6619,Das Girishbhai Manubhai,ANAND,Bahujan Mukti Party,1,Graduate Professional,3041264,3651,3037613
1259,696,Das K Varkala,ATTINGAL,IND,2,10th Pass,13633,39000,0
1260,4540,Dasari Bharath Reddy,MALKAJGIRI,IND,0,Graduate Professional,21000,0,21000
1261,3231,Dashmat Soren,MAYURBHANJ,BSP,0,10th Pass,855000,0,855000
