Sno,ID,Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Total Liabilities,Net Assets
68,880,Abdul Majid Chouhan,JAMMU,IND,0,10th Pass,2600000,0,2600000
69,6055,Abdul Mannan,SREERAMPUR,INC,1,Graduate,2206559,0,2206559
70,2265,Abdul Mannan Barbhuiya,SILCHAR,AAP,0,Graduate,1042000,900000,142000
71,3827,Abdul Mannan Hossain,MURSHIDABAD,INC,1,Graduate,13846286,0,13846286
72,908,Abdul Muneer,LAKSHADWEEP,CPI(M),0,Post Graduate,1395365,0,1395365
73,3997,Abdul Rahim,HAZARIBAGH,Bahujan Mukti Party,0,Graduate,1800000,0,1800000
74,5236,Abdul Rahman,ARARIA,BSP,0,Literate,813848,0,813848
75,7403,"Abdul Rahman, B.",VELLORE,IND,0,10th Pass,1036500,0,1036500
76,7396,"Abdul Rahman, M.",VELLORE,IUML,0,Post Graduate,46864136,9836275,37027861
77,7402,"Abdul Rahman, N.",VELLORE,IND,0,10th Pass,530000,0,530000
78,7120,"Abdul Rahman, R.",PERAMBALUR,IND,0,10th Pass,8165500,340000,7825500
79,6811,Abdul Rashid Tantray,SRINAGAR,IND,0,10th Pass,410000,0,410000
80,4141,Abdul Safiq Khan,RAIPUR,IND,0,10th Pass,582300,0,582300
81,1212,Abdul Salam N U,KASARAGOD,SDPI,1,Post Graduate,3620329,1182188,2438141
82,6973,"Abdul Salam, A.",COIMBATORE,IND,0,5th Pass,1768600,700000,1068600
83,990,Abdul Sami Salmani,NORTH EAST DELHI,BSP,0,Others,4331561,160000,4171561
84,3921,Abdul Tahir (Bablu - Advocate),BHOPAL,IND,0,Graduate Professional,2573572,1600,2571972
85,1540,Abdul Wafati Ansari Urf Yuvraj Tailors,REWA,Samata Party,0,10th Pass,1131000,1200000,0
86,4290,Abdul Wahid I,SALEM,IND,0,Post Graduate,1800,0,1800
87,4110,Abdur Rahaman,KATIHAR,Bharatiya Momin Front,0,12th Pass,627100,35000,592100
88,1883,Abdurahiman Vadakkathinakath,PONNANI,IND,0,8th Pass,5488050,0,5488050
89,1885,Abdurahiman Varikottil,PONNANI,IND,0,Literate,13110077,0,13110077
90,1884,Abdurahiman Vayarakath,PONNANI,IND,0,Literate,3037410,375000,2662410
91,4355,Abdus Sadek Sarkar,BALURGHAT,AIUDF,2,Graduate Professional,10907085,3064329,7842756
92,6414,Abdus Sattar Mujahed,SECUNDERABAD,Akhil Bharatiya Muslim League (Secular),1,Graduate,1785000,0,1785000
